districtid,weekid,dose1,dose2
AN_North and Middle Andaman,1,390.0,0.0
AN_North and Middle Andaman,2,599.0,0.0
AN_North and Middle Andaman,3,123.0,0.0
AN_North and Middle Andaman,4,1.0,0.0
AN_North and Middle Andaman,5,43.0,367.0
AN_North and Middle Andaman,6,280.0,483.0
AN_North and Middle Andaman,7,391.0,42.0
AN_North and Middle Andaman,8,190.0,50.0
AN_North and Middle Andaman,9,499.0,33.0
AN_North and Middle Andaman,10,329.0,124.0
AN_North and Middle Andaman,11,982.0,72.0
AN_North and Middle Andaman,12,3277.0,148.0
AN_North and Middle Andaman,13,15367.0,318.0
AN_North and Middle Andaman,14,5847.0,330.0
AN_North and Middle Andaman,15,1196.0,380.0
AN_North and Middle Andaman,16,276.0,510.0
AN_North and Middle Andaman,17,260.0,411.0
AN_North and Middle Andaman,18,935.0,12.0
AN_North and Middle Andaman,19,1089.0,2.0
AN_North and Middle Andaman,20,357.0,7.0
AN_North and Middle Andaman,21,901.0,2.0
AN_North and Middle Andaman,22,1329.0,1.0
AN_North and Middle Andaman,23,5036.0,152.0
AN_North and Middle Andaman,24,5541.0,2730.0
AN_North and Middle Andaman,25,1452.0,13236.0
AN_North and Middle Andaman,26,4895.0,6202.0
AN_North and Middle Andaman,27,5142.0,1787.0
AN_North and Middle Andaman,28,6386.0,823.0
AN_North and Middle Andaman,29,279.0,360.0
AN_North and Middle Andaman,30,4651.0,699.0
AN_South Andaman,1,301.0,0.0
AN_South Andaman,2,463.0,0.0
AN_South Andaman,3,538.0,0.0
AN_South Andaman,4,242.0,0.0
AN_South Andaman,5,1588.0,539.0
AN_South Andaman,6,871.0,327.0
AN_South Andaman,7,1787.0,202.0
AN_South Andaman,8,2816.0,426.0
AN_South Andaman,9,962.0,831.0
AN_South Andaman,10,1001.0,1260.0
AN_South Andaman,11,1354.0,57.0
AN_South Andaman,12,6906.0,114.0
AN_South Andaman,13,19617.0,632.0
AN_South Andaman,14,12206.0,2276.0
AN_South Andaman,15,5654.0,1184.0
AN_South Andaman,16,3200.0,1180.0
AN_South Andaman,17,2120.0,929.0
AN_South Andaman,18,2493.0,14.0
AN_South Andaman,19,3462.0,8.0
AN_South Andaman,20,3287.0,49.0
AN_South Andaman,21,2766.0,127.0
AN_South Andaman,22,2971.0,152.0
AN_South Andaman,23,13373.0,592.0
AN_South Andaman,24,8401.0,4233.0
AN_South Andaman,25,4881.0,16103.0
AN_South Andaman,26,7036.0,13378.0
AN_South Andaman,27,5267.0,6839.0
AN_South Andaman,28,7267.0,3964.0
AN_South Andaman,29,6858.0,2254.0
AN_South Andaman,30,12874.0,2226.0
AP_Anantapur,1,3802.0,0.0
AP_Anantapur,2,3115.0,0.0
AP_Anantapur,3,5029.0,0.0
AP_Anantapur,4,3090.0,730.0
AP_Anantapur,5,7823.0,6535.0
AP_Anantapur,6,12487.0,2936.0
AP_Anantapur,7,5747.0,1603.0
AP_Anantapur,8,11607.0,1665.0
AP_Anantapur,9,36732.0,2275.0
AP_Anantapur,10,76134.0,8658.0
AP_Anantapur,11,41180.0,2254.0
AP_Anantapur,12,56584.0,3931.0
AP_Anantapur,13,36573.0,2764.0
AP_Anantapur,14,63040.0,33895.0
AP_Anantapur,15,49088.0,38962.0
AP_Anantapur,16,28427.0,54745.0
AP_Anantapur,17,4609.0,11140.0
AP_Anantapur,18,5383.0,5770.0
AP_Anantapur,19,117444.0,7162.0
AP_Anantapur,20,60972.0,8832.0
AP_Anantapur,21,50427.0,8729.0
AP_Anantapur,22,25728.0,736.0
AP_Anantapur,23,122622.0,21682.0
AP_Anantapur,24,105115.0,28536.0
AP_Anantapur,25,19108.0,979.0
AP_Anantapur,26,85573.0,93324.0
AP_Anantapur,27,29879.0,59407.0
AP_Anantapur,28,84350.0,66175.0
AP_Anantapur,29,107455.0,64406.0
AP_Anantapur,30,104964.0,59515.0
AP_Chittoor,1,5540.0,0.0
AP_Chittoor,2,5056.0,0.0
AP_Chittoor,3,11874.0,0.0
AP_Chittoor,4,7110.0,340.0
AP_Chittoor,5,8949.0,6661.0
AP_Chittoor,6,11346.0,3951.0
AP_Chittoor,7,13430.0,4543.0
AP_Chittoor,8,17754.0,6309.0
AP_Chittoor,9,53306.0,4930.0
AP_Chittoor,10,75213.0,5476.0
AP_Chittoor,11,54834.0,3539.0
AP_Chittoor,12,50493.0,9503.0
AP_Chittoor,13,69936.0,7093.0
AP_Chittoor,14,56746.0,49413.0
AP_Chittoor,15,62590.0,40254.0
AP_Chittoor,16,18804.0,39680.0
AP_Chittoor,17,2349.0,9929.0
AP_Chittoor,18,4244.0,19053.0
AP_Chittoor,19,141915.0,3213.0
AP_Chittoor,20,72600.0,18788.0
AP_Chittoor,21,51933.0,2287.0
AP_Chittoor,22,32733.0,3007.0
AP_Chittoor,23,155841.0,30046.0
AP_Chittoor,24,106254.0,24087.0
