stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AP,48,123,6,14
AR,60,141,7,16
AS,73,147,8,17
BR,43,118,5,14
CH,52,120,6,14
CT,53,119,6,13
DL,69,116,8,14
DN,43,116,5,14
GJ,57,118,6,14
HP,73,121,8,14
HR,53,119,6,14
JH,50,119,6,14
JK,53,120,6,14
KA,59,121,7,14
KL,63,121,7,14
LA,58,114,7,14
LD,73,124,8,14
MH,53,114,6,13
ML,58,124,7,15
MN,73,147,8,17
MP,54,120,6,14
MZ,54,144,8,17
NL,43,125,5,14
OR,55,124,6,14
PB,53,120,6,14
PY,55,122,6,14
RJ,73,120,7,14
TN,38,124,5,14
TR,52,124,6,15
UP,51,117,6,14
UT,53,121,6,14
WB,64,121,7,14
