stateid,weekid,dose1,dose2
AN,1,691.0,0.0
AN,2,1062.0,0.0
AN,3,661.0,0.0
AN,4,243.0,0.0
AN,5,1631.0,906.0
AN,6,1151.0,810.0
AN,7,2178.0,244.0
AN,8,3006.0,476.0
AN,9,1461.0,864.0
AN,10,1330.0,1384.0
AN,11,2336.0,129.0
AN,12,10183.0,262.0
AN,13,34984.0,950.0
AN,14,18053.0,2606.0
AN,15,6850.0,1564.0
AN,16,3476.0,1690.0
AN,17,2380.0,1340.0
AN,18,3428.0,26.0
AN,19,4551.0,10.0
AN,20,3644.0,56.0
AN,21,3667.0,129.0
AN,22,4300.0,153.0
AN,23,18409.0,744.0
AN,24,13942.0,6963.0
AN,25,6333.0,29339.0
AN,26,11931.0,19580.0
AN,27,10409.0,8626.0
AN,28,13653.0,4787.0
AN,29,7137.0,2614.0
AN,30,17525.0,2925.0
AP,1,66164.0,0.0
AP,2,63191.0,0.0
AP,3,112367.0,0.0
AP,4,67569.0,6233.0
AP,5,100311.0,81237.0
AP,6,122137.0,50342.0
AP,7,117103.0,45307.0
AP,8,195605.0,54193.0
AP,9,445838.0,61917.0
AP,10,667934.0,73728.0
AP,11,604379.0,47066.0
AP,12,714537.0,101863.0
AP,13,728589.0,76034.0
AP,14,533378.0,528629.0
AP,15,631642.0,392788.0
AP,16,261632.0,454871.0
AP,17,48122.0,193005.0
AP,18,79646.0,180783.0
AP,19,1710375.0,133539.0
AP,20,956613.0,90939.0
AP,21,1025779.0,47528.0
AP,22,593828.0,32276.0
AP,23,2069992.0,254321.0
AP,24,1251921.0,361815.0
AP,25,299752.0,204683.0
AP,26,1035127.0,644884.0
AP,27,402582.0,537279.0
AP,28,1186472.0,917332.0
AP,29,1380322.0,567504.0
AP,30,1039018.0,345116.0
AR,1,13804.0,0.0
AR,2,406048.0,0.0
AR,3,271528.0,0.0
AR,4,765201.0,1122.0
AR,5,20690999.0,357743.0
AR,6,2955590.0,125619.0
AR,7,4760871.0,137555.0
AR,8,3948466.0,551355.0
AR,9,5889789.0,664283.0
AR,10,6080759.0,18730237.0
AR,11,13669030.0,2254.0
AR,12,31560488.0,4996427.0
AR,13,36738520.0,7806483.0
AR,14,54353285.0,7638943.0
AR,15,65380709.0,8558244.0
AR,16,2589994195.0,18042477.0
AR,17,136309650.0,9337054.0
AR,18,326723129.0,330158.0
AR,19,83908453.0,60192.0
AR,20,1867321056.0,160314.0
AR,21,385133337.0,170412.0
AR,22,836258819.0,400553.0
AR,23,682164802.0,1421575.0
AR,24,486559217.0,10587064.0
AR,25,417051582.0,30999106.0
AR,26,531432037.0,46200171.0
AR,27,356422407.0,52607427.0
AR,28,219415547.0,28592537.0
AR,29,162215336.0,11617688.0
AR,30,173411220.0,26963658.0
AS,1,3660.0,0.0
AS,2,26512.0,0.0
AS,3,47925.0,0.0
AS,4,43552.0,2006.0
AS,5,31279.0,8584.0
AS,6,42047.0,17168.0
AS,7,148225.0,24810.0
AS,8,126257.0,31299.0
AS,9,87796.0,24516.0
AS,10,332813.0,33017.0
AS,11,140106.0,32003.0
AS,12,205557.0,76554.0
AS,13,59332.0,40762.0
AS,14,297490.0,122152.0
AS,15,427578.0,140664.0
AS,16,325788.0,103004.0
AS,17,285358.0,74338.0
AS,18,306857.0,46646.0
AS,19,308167.0,49656.0
AS,20,220749.0,20593.0
AS,21,374072.0,69556.0
AS,22,427672.0,138079.0
AS,23,1389486.0,127319.0
AS,24,643862.0,111854.0
AS,25,263231.0,50524.0
AS,26,671272.0,181569.0
AS,27,720674.0,184910.0
AS,28,751281.0,217665.0
AS,29,1480218.0,220949.0
AS,30,1240836.0,292703.0
BR,1,35442.0,0.0
BR,2,67342.0,0.0
BR,3,224576.0,0.0
BR,4,121379.0,55.0
BR,5,67654.0,38347.0
BR,6,39961.0,39826.0
BR,7,84363.0,106740.0
BR,8,429095.0,107410.0
BR,9,379926.0,75699.0
BR,10,637591.0,40374.0
BR,11,672940.0,25897.0
BR,12,1190747.0,104666.0
BR,13,941202.0,145577.0
BR,14,585058.0,199000.0
BR,15,448482.0,237224.0
BR,16,375673.0,359313.0
BR,17,875670.0,211098.0
BR,18,612349.0,40111.0
BR,19,638997.0,43592.0
BR,20,652055.0,65897.0
BR,21,948946.0,67327.0
BR,22,1439227.0,131631.0
BR,23,2036374.0,137168.0
BR,24,1215113.0,220262.0
BR,25,1158201.0,278383.0
BR,26,1671900.0,436012.0
BR,27,1098865.0,293284.0
BR,28,1899663.0,487583.0
