stateid,vaccineratio
AN,0
SK,0
NL,0
MZ,0
MN,0
ML,0
LD,0
LA,0
AR,0
AP,3.2224026619649226
AR,3.9360696093231233
AP,5.095742336948367
AN,5.129828417390091
AR,5.5328409170434885
AP,5.953967985179986
AR,6.4452668644020985
AP,6.515258971838102
AR,6.579185817982559
AR,6.60186895755626
AR,6.645782498225505
AR,6.991658945835994
AP,7.006831531602256
AR,7.4635881769032775
AP,7.725635208385684
AR,7.758749864247849
AP,7.8442210522377795
AP,8.362065346344275
AR,9.027857491328223
AR,12.731979218387655
AP,26.31155848290836
AR,48.197015420828684
AP,51.16299081640032
AP,214.97393992932862
AP,1947.0027132951461
AR,10451.891891891892
AP,14654.340425531915
